Date	Open	High	Low	Close	Adj Close	Volume
Apr 1, 2022	3,048.90	3,086.90	2,791.20	2,795.60	2,795.60	-
Mar 1, 2022	2,979.70	3,113.00	2,792.20	3,053.10	3,053.10	-
Feb 1, 2022	3,060.80	3,132.50	2,825.10	2,978.00	2,978.00	-
Jan 1, 2022	3,230.70	3,261.70	2,912.00	3,059.10	3,059.10	-
Dec 1, 2021	3,106.80	3,252.00	3,067.60	3,231.70	3,231.70	-
Nov 1, 2021	3,175.10	3,242.90	3,101.80	3,101.80	3,101.80	-
Oct 1, 2021	3,006.80	3,180.70	2,978.10	3,174.70	3,174.70	-
Sep 1, 2021	3,142.00	3,174.10	3,006.60	3,006.60	3,006.60	-
Aug 1, 2021	3,071.10	3,151.30	3,047.60	3,141.40	3,141.40	-
Jul 1, 2021	3,017.30	3,095.60	2,962.60	3,069.30	3,069.30	-
Jun 1, 2021	2,977.00	3,029.20	2,943.50	3,017.20	3,017.20	-
May 1, 2021	2,938.20	2,987.70	2,860.30	2,975.70	2,975.70	-
Apr 1, 2021	2,810.00	2,972.70	2,809.20	2,938.80	2,938.80	-
Mar 1, 2021	2,727.80	2,837.30	2,670.20	2,811.70	2,811.70	-
Feb 1, 2021	2,660.20	2,838.40	2,658.50	2,726.90	2,726.90	-
Jan 1, 2021	2,690.00	2,770.90	2,649.40	2,661.70	2,661.70	-
Dec 1, 2020	2,581.20	2,699.40	2,581.20	2,690.00	2,690.00	-
Nov 1, 2020	2,292.80	2,603.90	2,292.00	2,583.10	2,583.10	-
Oct 1, 2020	2,367.70	2,485.00	2,276.20	2,292.90	2,292.90	-
Sep 1, 2020	2,453.80	2,500.30	2,280.80	2,367.30	2,367.30	-
Aug 1, 2020	2,304.20	2,461.40	2,301.70	2,455.50	2,455.50	-
Jul 1, 2020	2,202.80	2,333.60	2,194.90	2,305.00	2,305.00	-
Jun 1, 2020	2,148.00	2,291.60	2,116.40	2,201.80	2,201.80	-
May 1, 2020	2,049.80	2,167.70	1,952.90	2,147.90	2,147.90	-
Apr 1, 2020	1,855.10	2,078.70	1,763.80	2,052.90	2,052.90	-
Mar 1, 2020	2,141.40	2,249.40	1,579.10	1,852.70	1,852.70	-
Feb 1, 2020	2,340.30	2,435.00	2,087.90	2,141.10	2,141.10	-
Jan 1, 2020	2,358.30	2,419.10	2,338.00	2,342.40	2,342.40	-
Dec 1, 2019	2,291.90	2,369.20	2,250.90	2,358.50	2,358.50	-
Nov 1, 2019	2,233.20	2,303.70	2,231.80	2,292.30	2,292.30	-
Oct 1, 2019	2,179.60	2,241.20	2,102.40	2,233.50	2,233.50	-
Sep 1, 2019	2,137.10	2,211.50	2,119.10	2,180.00	2,180.00	-
Aug 1, 2019	2,182.60	2,201.80	2,073.20	2,138.50	2,138.50	-
Jul 1, 2019	2,177.60	2,220.90	2,172.90	2,187.60	2,187.60	-
Jun 1, 2019	2,046.50	2,187.00	2,039.90	2,178.40	2,178.40	-
May 1, 2019	2,179.30	2,185.40	2,042.60	2,046.30	2,046.30	-
Apr 1, 2019	2,107.40	2,180.30	2,107.30	2,178.70	2,178.70	-
Mar 1, 2019	2,084.70	2,131.80	2,040.70	2,107.70	2,107.70	-
Feb 1, 2019	2,027.40	2,100.70	2,008.00	2,085.80	2,085.80	-
Jan 1, 2019	1,885.40	2,029.70	1,847.90	2,028.50	2,028.50	-
Dec 1, 2018	2,042.10	2,072.60	1,794.00	1,883.90	1,883.90	-
Nov 1, 2018	2,021.40	2,089.50	1,969.00	2,041.40	2,041.40	-
Oct 1, 2018	2,183.60	2,195.90	1,958.30	2,022.00	2,022.00	-
Sep 1, 2018	2,172.40	2,204.00	2,131.60	2,184.00	2,184.00	-
Aug 1, 2018	2,153.60	2,193.20	2,106.80	2,175.50	2,175.50	-
Jul 1, 2018	2,089.20	2,168.70	2,069.20	2,153.10	2,153.10	-
Jun 1, 2018	2,092.40	2,149.00	2,074.40	2,089.30	2,089.30	-
May 1, 2018	2,086.10	2,141.60	2,054.10	2,092.90	2,092.90	-
Apr 1, 2018	2,067.50	2,128.00	2,026.20	2,086.50	2,086.50	-
Mar 1, 2018	2,117.40	2,164.30	2,034.10	2,066.90	2,066.90	-
Feb 1, 2018	2,211.10	2,218.80	2,009.60	2,118.00	2,118.00	-
Jan 1, 2018	2,102.40	2,249.70	2,102.40	2,213.20	2,213.20	-
Dec 1, 2017	2,074.70	2,112.40	2,056.20	2,103.50	2,103.50	-
Nov 1, 2017	2,036.80	2,079.40	2,016.60	2,077.40	2,077.40	-
Oct 1, 2017	2,000.20	2,038.40	1,997.50	2,036.80	2,036.80	-
Sep 1, 2017	1,961.90	2,000.60	1,948.20	2,000.60	2,000.60	-
Aug 1, 2017	1,962.10	1,974.80	1,925.20	1,959.70	1,959.70	-
Jul 1, 2017	1,917.50	1,971.30	1,905.30	1,961.10	1,961.10	-
Jun 1, 2017	1,911.00	1,938.70	1,908.10	1,916.40	1,916.40	-
May 1, 2017	1,878.90	1,916.20	1,873.00	1,911.70	1,911.70	-
Apr 1, 2017	1,853.60	1,887.90	1,831.30	1,878.30	1,878.30	-
Mar 1, 2017	1,834.60	1,868.80	1,831.80	1,853.70	1,853.70	-
Feb 1, 2017	1,791.90	1,848.60	1,789.90	1,838.70	1,838.70	-
Jan 1, 2017	1,749.60	1,810.80	1,747.90	1,792.40	1,792.40	-
Dec 1, 2016	1,711.80	1,776.40	1,704.70	1,751.20	1,751.20	-
Nov 1, 2016	1,691.60	1,725.30	1,657.10	1,712.10	1,712.10	-
Oct 1, 2016	1,724.80	1,728.40	1,678.40	1,690.90	1,690.90	-
Sep 1, 2016	1,720.50	1,750.10	1,688.80	1,725.70	1,725.70	-
Aug 1, 2016	1,719.90	1,742.50	1,696.80	1,719.50	1,719.50	-
Jul 1, 2016	1,653.10	1,723.30	1,625.70	1,721.80	1,721.80	-
Jun 1, 2016	1,673.30	1,700.80	1,566.70	1,653.20	1,653.20	-
May 1, 2016	1,670.80	1,681.70	1,620.60	1,674.60	1,674.60	-
Apr 1, 2016	1,646.90	1,698.20	1,616.80	1,670.80	1,670.80	-
Mar 1, 2016	1,548.00	1,657.80	1,546.60	1,648.10	1,648.10	-
Feb 1, 2016	1,562.70	1,570.90	1,459.80	1,547.20	1,547.20	-
Jan 1, 2016	1,663.10	1,663.20	1,468.40	1,562.20	1,562.20	-
Dec 1, 2015	1,694.50	1,712.40	1,619.70	1,662.80	1,662.80	-
Nov 1, 2015	1,705.70	1,723.80	1,649.50	1,694.40	1,694.40	-
Oct 1, 2015	1,582.10	1,714.10	1,573.30	1,705.80	1,705.80	-
Sep 1, 2015	1,645.80	1,672.40	1,545.50	1,581.90	1,581.90	-
Aug 1, 2015	1,762.50	1,770.00	1,571.10	1,645.40	1,645.40	-
Jul 1, 2015	1,735.40	1,783.60	1,701.60	1,765.60	1,765.60	-
Jun 1, 2015	1,778.40	1,799.50	1,732.70	1,735.60	1,735.60	-
May 1, 2015	1,778.70	1,813.90	1,761.40	1,779.30	1,779.30	-
Apr 1, 2015	1,740.30	1,809.30	1,730.60	1,778.40	1,778.40	-
Mar 1, 2015	1,771.00	1,783.40	1,708.70	1,740.80	1,740.80	-
Feb 1, 2015	1,678.80	1,780.30	1,671.70	1,772.90	1,772.90	-
Jan 1, 2015	1,709.20	1,717.90	1,649.80	1,677.50	1,677.50	-
Dec 1, 2014	1,738.00	1,742.20	1,647.50	1,709.70	1,709.70	-
Nov 1, 2014	1,706.20	1,748.00	1,691.80	1,739.50	1,739.50	-
Oct 1, 2014	1,698.40	1,708.30	1,571.80	1,708.10	1,708.10	-
Sep 1, 2014	1,747.00	1,757.30	1,693.70	1,698.40	1,698.40	-
Aug 1, 2014	1,713.60	1,751.60	1,675.50	1,748.70	1,748.70	-
Jul 1, 2014	1,743.70	1,765.80	1,714.30	1,714.30	1,714.30	-
Jun 1, 2014	1,715.40	1,750.00	1,711.50	1,743.40	1,743.40	-
May 1, 2014	1,688.30	1,715.20	1,673.10	1,715.20	1,715.20	-
Apr 1, 2014	1,673.30	1,692.90	1,631.20	1,687.70	1,687.70	-
Mar 1, 2014	1,675.20	1,690.00	1,638.40	1,673.90	1,673.90	-
Feb 1, 2014	1,598.50	1,679.90	1,560.40	1,675.40	1,675.40	-
Jan 1, 2014	1,659.60	1,664.20	1,588.70	1,598.50	1,598.50	-
Dec 1, 2013	1,627.20	1,661.10	1,585.60	1,661.10	1,661.10	-
Nov 1, 2013	1,602.00	1,633.40	1,582.00	1,628.40	1,628.40	-
Oct 1, 2013	1,542.60	1,618.90	1,513.60	1,602.90	1,602.90	-
Sep 1, 2013	1,473.70	1,579.00	1,473.40	1,543.70	1,543.70	-
Aug 1, 2013	1,509.70	1,535.20	1,471.30	1,472.70	1,472.70	-
Jul 1, 2013	1,435.10	1,525.30	1,433.20	1,507.90	1,507.90	-
Jun 1, 2013	1,472.50	1,488.00	1,393.90	1,433.60	1,433.60	-
May 1, 2013	1,475.50	1,533.40	1,459.90	1,471.90	1,471.90	-
Apr 1, 2013	1,433.00	1,476.10	1,409.30	1,476.10	1,476.10	-
Mar 1, 2013	1,403.50	1,445.80	1,391.00	1,434.50	1,434.50	-
Feb 1, 2013	1,405.30	1,420.50	1,385.90	1,405.20	1,405.20	-
Jan 1, 2013	1,365.80	1,411.90	1,359.20	1,405.50	1,405.50	-
Dec 1, 2012	1,315.30	1,353.70	1,313.30	1,338.50	1,338.50	-
Nov 1, 2012	1,301.80	1,317.80	1,244.40	1,315.50	1,315.50	-
Oct 1, 2012	1,309.30	1,343.50	1,295.60	1,301.50	1,301.50	-
Sep 1, 2012	1,278.20	1,353.70	1,269.20	1,311.50	1,311.50	-
Aug 1, 2012	1,249.10	1,300.80	1,229.20	1,279.20	1,279.20	-
Jul 1, 2012	1,236.10	1,257.60	1,197.20	1,250.60	1,250.60	-
Jun 1, 2012	1,176.70	1,235.70	1,144.20	1,235.70	1,235.70	-
May 1, 2012	1,293.60	1,302.10	1,168.80	1,177.60	1,177.60	-
Apr 1, 2012	1,313.80	1,327.00	1,257.10	1,294.00	1,294.00	-
Mar 1, 2012	1,304.20	1,331.60	1,264.80	1,312.00	1,312.00	-
Feb 1, 2012	1,257.00	1,304.80	1,256.90	1,295.80	1,295.80	-
Jan 1, 2012	1,206.00	1,251.30	1,187.80	1,240.60	1,240.60	-
Dec 1, 2011	1,184.30	1,198.40	1,134.30	1,182.60	1,182.60	-
Nov 1, 2011	1,213.80	1,217.00	1,093.70	1,185.00	1,185.00	-
Oct 1, 2011	1,072.80	1,257.60	1,042.30	1,217.30	1,217.30	-
Sep 1, 2011	1,210.80	1,218.70	1,079.60	1,104.10	1,104.10	-
Aug 1, 2011	1,305.90	1,319.40	1,113.20	1,211.20	1,211.20	-
Jul 1, 2011	1,330.60	1,354.50	1,292.30	1,306.10	1,306.10	-
Jun 1, 2011	1,355.60	1,357.00	1,267.60	1,331.20	1,331.20	-
May 1, 2011	1,389.80	1,397.60	1,310.10	1,354.60	1,354.60	-
Apr 1, 2011	1,333.70	1,390.20	1,309.10	1,388.60	1,388.60	-
Mar 1, 2011	1,339.60	1,357.10	1,251.30	1,334.90	1,334.90	-
Feb 1, 2011	1,331.50	1,365.10	1,326.00	1,352.60	1,352.60	-
Jan 1, 2011	1,287.60	1,323.90	1,269.50	1,308.10	1,308.10	-
Dec 1, 2010	1,218.50	1,283.70	1,218.50	1,280.10	1,280.10	-
Nov 1, 2010	1,224.30	1,269.10	1,192.80	1,193.00	1,193.00	-
Oct 1, 2010	1,177.50	1,238.00	1,172.40	1,222.20	1,222.20	-
Sep 1, 2010	1,080.00	1,192.70	1,079.60	1,179.20	1,179.20	-
Aug 1, 2010	1,126.10	1,159.00	1,064.10	1,080.70	1,080.70	-
Jul 1, 2010	1,039.80	1,140.60	1,026.20	1,124.80	1,124.80	-
Jun 1, 2010	1,079.90	1,131.30	1,032.10	1,041.30	1,041.30	-
May 1, 2010	1,197.90	1,205.10	1,027.60	1,079.80	1,079.80	-
Apr 1, 2010	1,199.90	1,244.10	1,186.70	1,198.60	1,198.60	-
Mar 1, 2010	1,143.30	1,206.30	1,143.20	1,200.50	1,200.50	-
Feb 1, 2010	1,131.30	1,146.00	1,081.50	1,133.30	1,133.30	-
Jan 1, 2010	1,188.20	1,210.30	1,117.70	1,119.50	1,119.50	-
Dec 1, 2009	1,148.90	1,181.40	1,139.30	1,168.50	1,168.50	-
Nov 1, 2009	1,108.70	1,179.50	1,093.10	1,148.70	1,148.70	-
Oct 1, 2009	1,127.50	1,175.50	1,083.80	1,106.20	1,106.20	-
Sep 1, 2009	1,085.00	1,150.40	1,054.00	1,127.00	1,127.00	-
Aug 1, 2009	1,049.10	1,102.00	1,032.70	1,085.60	1,085.60	-
Jul 1, 2009	963.90	1,051.20	915.10	1,044.80	1,044.80	-
Jun 1, 2009	969.80	1,005.20	933.70	964.00	964.00	-
May 1, 2009	892.00	971.10	889.30	970.00	970.00	-
Apr 1, 2009	804.50	904.10	796.20	893.00	893.00	-
Mar 1, 2009	713.70	844.60	684.10	805.20	805.20	-
Feb 1, 2009	829.70	876.10	746.20	750.90	750.90	-
Jan 1, 2009	921.40	954.80	808.50	838.80	838.80	-
Dec 1, 2008	830.90	935.90	815.90	920.20	920.20	-
Nov 1, 2008	960.40	1,013.60	759.00	892.90	892.90	-
Oct 1, 2008	1,184.00	1,192.90	829.00	957.30	957.30	-
Sep 1, 2008	1,343.20	1,343.60	1,145.60	1,182.40	1,182.40	-
Aug 1, 2008	1,366.90	1,372.30	1,311.10	1,344.90	1,344.90	-
Jul 1, 2008	1,402.40	1,403.20	1,313.60	1,366.70	1,366.70	-
Jun 1, 2008	1,526.40	1,528.00	1,393.50	1,402.10	1,402.10	-
May 1, 2008	1,511.70	1,567.00	1,503.80	1,525.70	1,525.70	-
Apr 1, 2008	1,434.90	1,522.00	1,431.90	1,509.00	1,509.00	-
Mar 1, 2008	1,441.80	1,455.30	1,367.40	1,437.40	1,437.40	-
Feb 1, 2008	1,468.00	1,498.30	1,405.10	1,455.60	1,455.60	-
Jan 1, 2008	1,578.30	1,582.30	1,393.70	1,468.80	1,468.80	-
Dec 1, 2007	1,603.70	1,641.70	1,550.40	1,587.10	1,587.10	-
Nov 1, 2007	1,683.70	1,686.10	1,540.50	1,609.70	1,609.70	-
Oct 1, 2007	1,636.10	1,686.30	1,604.70	1,682.30	1,682.30	-
Sep 1, 2007	1,561.70	1,638.20	1,527.00	1,633.60	1,633.60	-
Aug 1, 2007	1,565.50	1,592.80	1,454.10	1,561.90	1,561.90	-
Jul 1, 2007	1,604.00	1,658.50	1,551.90	1,566.00	1,566.00	-
Jun 1, 2007	1,617.20	1,633.00	1,569.90	1,602.40	1,602.40	-
May 1, 2007	1,577.80	1,620.80	1,571.10	1,616.90	1,616.90	-
Apr 1, 2007	1,516.60	1,592.70	1,511.60	1,577.90	1,577.90	-
Mar 1, 2007	1,491.30	1,528.90	1,444.60	1,514.20	1,514.20	-
Feb 1, 2007	1,513.20	1,546.50	1,482.80	1,491.60	1,491.60	-
Jan 1, 2007	1,484.70	1,506.50	1,464.50	1,502.20	1,502.20	-
Dec 1, 2006	1,454.60	1,489.10	1,446.80	1,484.30	1,484.30	-
Nov 1, 2006	1,418.50	1,454.90	1,411.80	1,454.80	1,454.80	-
Oct 1, 2006	1,373.80	1,432.30	1,367.80	1,423.60	1,423.60	-
Sep 1, 2006	1,359.20	1,377.80	1,331.90	1,373.60	1,373.60	-
Aug 1, 2006	1,327.10	1,362.20	1,314.40	1,359.50	1,359.50	-
Jul 1, 2006	1,320.00	1,330.80	1,253.90	1,327.20	1,327.20	-
Jun 1, 2006	1,321.10	1,345.80	1,241.20	1,319.90	1,319.90	-
May 1, 2006	1,375.30	1,407.70	1,299.50	1,320.80	1,320.80	-
Apr 1, 2006	1,336.00	1,377.80	1,329.40	1,375.70	1,375.70	-
Mar 1, 2006	1,309.90	1,345.20	1,290.20	1,336.10	1,336.10	-
Feb 1, 2006	1,312.80	1,320.80	1,281.90	1,309.60	1,309.60	-
Jan 1, 2006	1,259.90	1,316.20	1,259.10	1,313.50	1,313.50	-
Dec 1, 2005	1,231.20	1,272.50	1,230.90	1,259.70	1,259.70	-
Nov 1, 2005	1,196.10	1,246.60	1,196.10	1,231.20	1,231.20	-
Oct 1, 2005	1,222.40	1,224.70	1,160.90	1,193.60	1,193.60	-
Sep 1, 2005	1,197.20	1,227.60	1,197.10	1,222.90	1,222.90	-
Aug 1, 2005	1,186.60	1,214.20	1,178.60	1,196.90	1,196.90	-
Jul 1, 2005	1,148.50	1,194.40	1,135.40	1,187.20	1,187.20	-
Jun 1, 2005	1,138.90	1,169.00	1,138.30	1,148.60	1,148.60	-
May 1, 2005	1,121.80	1,149.30	1,113.20	1,138.60	1,138.60	-
Apr 1, 2005	1,150.50	1,159.90	1,111.60	1,122.70	1,122.70	-
Mar 1, 2005	1,174.70	1,195.20	1,138.90	1,150.40	1,150.40	-
Feb 1, 2005	1,149.60	1,183.40	1,144.80	1,175.20	1,175.20	-
Jan 1, 2005	1,170.00	1,170.00	1,128.20	1,137.90	1,137.90	-
Dec 1, 2004	1,132.50	1,167.70	1,127.30	1,165.80	1,165.80	-
Nov 1, 2004	1,072.70	1,135.70	1,072.70	1,132.80	1,132.80	-
Oct 1, 2004	1,044.90	1,071.90	1,044.90	1,068.30	1,068.30	-
Sep 1, 2004	1,027.00	1,056.00	1,027.00	1,040.60	1,040.60	-
Aug 1, 2004	1,024.30	1,032.60	997.70	1,032.60	1,032.60	-
Jul 1, 2004	1,061.00	1,062.50	1,012.90	1,017.90	1,017.90	-
Jun 1, 2004	1,041.80	1,064.70	1,037.80	1,063.60	1,063.60	-
May 1, 2004	1,042.90	1,053.90	997.00	1,043.30	1,043.30	-
Apr 1, 2004	1,056.00	1,080.90	1,048.30	1,048.30	1,048.30	-
Mar 1, 2004	1,070.70	1,085.60	1,025.90	1,052.70	1,052.70	-
Feb 1, 2004	1,053.70	1,088.60	1,048.30	1,070.80	1,070.80	-
Jan 1, 2004	1,032.30	1,078.10	1,032.30	1,053.70	1,053.70	-
Dec 1, 2003	976.00	1,036.90	975.20	1,035.30	1,035.30	-
Nov 1, 2003	962.00	977.80	950.80	976.30	976.30	-
Oct 1, 2003	910.50	969.10	910.00	962.10	962.10	-
Sep 1, 2003	905.40	947.00	905.40	910.10	910.10	-
Aug 1, 2003	886.80	909.20	866.70	905.00	905.00	-
Jul 1, 2003	872.30	903.90	863.60	887.90	887.90	-
Jun 1, 2003	856.70	908.50	856.70	872.10	872.10	-
May 1, 2003	813.80	860.80	810.90	858.10	858.10	-
Apr 1, 2003	749.00	816.20	748.30	813.70	813.70	-
Mar 1, 2003	752.80	789.80	710.10	766.60	766.60	-
Feb 1, 2003	762.40	768.90	738.90	741.40	741.40	-
Jan 1, 2003	811.00	831.90	757.60	768.30	768.30	-
Dec 1, 2002	832.30	832.30	783.90	792.40	792.40	-
Nov 1, 2002	792.00	836.20	784.90	830.50	830.50	-
Oct 1, 2002	737.50	826.90	696.80	792.10	792.10	-
Sep 1, 2002	829.30	831.20	727.50	737.80	737.80	-
Aug 1, 2002	830.20	867.60	771.00	831.20	831.20	-
Jul 1, 2002	909.40	912.00	731.00	830.30	830.30	-
Jun 1, 2002	966.70	969.80	871.10	909.30	909.30	-
May 1, 2002	961.30	996.70	949.10	967.10	967.10	-
Apr 1, 2002	1,005.20	1,006.30	959.00	968.00	968.00	-
Mar 1, 2002	963.40	1,025.70	963.40	1,003.60	1,003.60	-
Feb 1, 2002	971.30	973.80	936.50	958.50	958.50	-
Jan 1, 2002	1,006.60	1,027.80	959.80	971.10	971.10	-
Dec 1, 2001	987.40	1,024.10	976.30	1,003.10	1,003.10	-
Nov 1, 2001	958.20	1,009.30	954.00	997.90	997.90	-
Oct 1, 2001	922.20	994.70	919.80	943.10	943.10	-
Sep 1, 2001	1,017.00	1,020.90	837.40	925.70	925.70	-
Aug 1, 2001	1,069.70	1,083.00	1,013.90	1,018.20	1,018.20	-
Jul 1, 2001	1,086.60	1,086.60	1,039.10	1,058.50	1,058.50	-
Jun 1, 2001	1,120.40	1,140.90	1,067.80	1,086.60	1,086.60	-
May 1, 2001	1,137.80	1,168.50	1,114.90	1,120.40	1,120.40	-
Apr 1, 2001	1,055.20	1,180.30	1,024.60	1,137.80	1,137.80	-
Mar 1, 2001	1,137.80	1,152.90	1,014.60	1,055.20	1,055.20	-
Feb 1, 2001	1,244.20	1,249.10	1,134.80	1,149.00	1,149.00	-
Jan 1, 2001	1,211.00	1,243.50	1,200.20	1,243.50	1,243.50	-
