__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-05-24,US,United States,sales,Sales,TOTAL,51.45
HiringLabSectoralPosting,2020-05-25,US,United States,sales,Sales,TOTAL,51.29
HiringLabSectoralPosting,2020-05-26,US,United States,sales,Sales,TOTAL,51.13
HiringLabSectoralPosting,2020-05-27,US,United States,sales,Sales,TOTAL,51
HiringLabSectoralPosting,2020-05-28,US,United States,sales,Sales,TOTAL,50.98
HiringLabSectoralPosting,2020-05-29,US,United States,sales,Sales,TOTAL,51.12
HiringLabSectoralPosting,2020-05-30,US,United States,sales,Sales,TOTAL,51.45
HiringLabSectoralPosting,2020-05-31,US,United States,sales,Sales,TOTAL,51.82
HiringLabSectoralPosting,2020-06-01,US,United States,sales,Sales,TOTAL,52.16
HiringLabSectoralPosting,2020-06-02,US,United States,sales,Sales,TOTAL,52.63
HiringLabSectoralPosting,2020-06-03,US,United States,sales,Sales,TOTAL,53.14
HiringLabSectoralPosting,2020-06-04,US,United States,sales,Sales,TOTAL,53.63
HiringLabSectoralPosting,2020-06-05,US,United States,sales,Sales,TOTAL,54.07
HiringLabSectoralPosting,2020-06-06,US,United States,sales,Sales,TOTAL,54.46
HiringLabSectoralPosting,2020-06-07,US,United States,sales,Sales,TOTAL,54.87
HiringLabSectoralPosting,2020-06-08,US,United States,sales,Sales,TOTAL,55.23
HiringLabSectoralPosting,2020-06-09,US,United States,sales,Sales,TOTAL,55.51
HiringLabSectoralPosting,2020-06-10,US,United States,sales,Sales,TOTAL,55.8
HiringLabSectoralPosting,2020-06-11,US,United States,sales,Sales,TOTAL,56.2
HiringLabSectoralPosting,2020-06-12,US,United States,sales,Sales,TOTAL,56.5
HiringLabSectoralPosting,2020-06-13,US,United States,sales,Sales,TOTAL,56.63
HiringLabSectoralPosting,2020-06-14,US,United States,sales,Sales,TOTAL,56.96
HiringLabSectoralPosting,2020-06-15,US,United States,sales,Sales,TOTAL,57.44
HiringLabSectoralPosting,2020-06-16,US,United States,sales,Sales,TOTAL,58.02
HiringLabSectoralPosting,2020-06-17,US,United States,sales,Sales,TOTAL,58.75
HiringLabSectoralPosting,2020-06-18,US,United States,sales,Sales,TOTAL,59.44
HiringLabSectoralPosting,2020-06-19,US,United States,sales,Sales,TOTAL,60.21
HiringLabSectoralPosting,2020-06-20,US,United States,sales,Sales,TOTAL,61.14
HiringLabSectoralPosting,2020-06-21,US,United States,sales,Sales,TOTAL,61.94
HiringLabSectoralPosting,2020-06-22,US,United States,sales,Sales,TOTAL,62.59
HiringLabSectoralPosting,2020-06-23,US,United States,sales,Sales,TOTAL,63.05
HiringLabSectoralPosting,2020-06-24,US,United States,sales,Sales,TOTAL,63.34
HiringLabSectoralPosting,2020-06-25,US,United States,sales,Sales,TOTAL,63.62
HiringLabSectoralPosting,2020-06-26,US,United States,sales,Sales,TOTAL,63.84
HiringLabSectoralPosting,2020-06-27,US,United States,sales,Sales,TOTAL,63.95
HiringLabSectoralPosting,2020-06-28,US,United States,sales,Sales,TOTAL,64.08
HiringLabSectoralPosting,2020-06-29,US,United States,sales,Sales,TOTAL,64.34
HiringLabSectoralPosting,2020-06-30,US,United States,sales,Sales,TOTAL,64.84
HiringLabSectoralPosting,2020-07-01,US,United States,sales,Sales,TOTAL,65.36
HiringLabSectoralPosting,2020-07-02,US,United States,sales,Sales,TOTAL,65.72
HiringLabSectoralPosting,2020-07-03,US,United States,sales,Sales,TOTAL,66.1
HiringLabSectoralPosting,2020-07-04,US,United States,sales,Sales,TOTAL,66.51
HiringLabSectoralPosting,2020-07-05,US,United States,sales,Sales,TOTAL,66.93
HiringLabSectoralPosting,2020-07-06,US,United States,sales,Sales,TOTAL,67.25
HiringLabSectoralPosting,2020-07-07,US,United States,sales,Sales,TOTAL,67.46
HiringLabSectoralPosting,2020-07-08,US,United States,sales,Sales,TOTAL,67.67
HiringLabSectoralPosting,2020-07-09,US,United States,sales,Sales,TOTAL,68.03
HiringLabSectoralPosting,2020-07-10,US,United States,sales,Sales,TOTAL,68.37
HiringLabSectoralPosting,2020-07-11,US,United States,sales,Sales,TOTAL,68.67
HiringLabSectoralPosting,2020-07-12,US,United States,sales,Sales,TOTAL,68.93
HiringLabSectoralPosting,2020-07-13,US,United States,sales,Sales,TOTAL,69.21
HiringLabSectoralPosting,2020-07-14,US,United States,sales,Sales,TOTAL,69.49
